Video,Label,Delta h,Delta w,Delta ratio,Delta angle
fall6-2.mp4,1,-0.5752416174121074,0.2897672541951532,0.0003075381312049562,-0.13468359026153454
fall4-1.mp4,1,-0.2715507262080369,0.49555311237790634,-0.000729996261090536,-0.23216616515296626
fall6-3.mp4,1,0.46877545799643505,0.4328967655561506,0.0006439874263650653,-0.09768378902104935
fall6-1.mp4,1,-0.31659963341720293,0.35016864605209175,0.0004679326623441171,0.33276378786836125
fall4-3.mp4,1,-0.4497361823214686,0.5132071366516159,0.007188701909322808,0.029867979117592917
fall4-2.mp4,1,-0.4933106597556345,0.4578934866022179,0.002256627969793433,-0.04653922567235427
fall6-4.mp4,1,0.3404261186146841,0.5420583142695229,0.0010006948471316598,-0.11651487226866133
fall2-1.mp4,1,-0.44983973502315117,0.46970728056341193,-0.001698086611004517,0.07875489780243235
fall6-5.mp4,1,-0.42313231042932525,-0.4951414564049603,0.0031234285295897546,-0.07860280463612462
fall4-4.mp4,1,-0.2703446553521702,-0.6887345524253314,-0.0023729122894351326,-0.03854787993306307
fall6-6.mp4,1,-0.3979860592264426,-0.49230350721657845,0.0027176988354597293,0.10699273472151935
fall5-3.mp4,1,-0.4820901493419136,0.4556507099750262,0.0017618282090432749,0.06049731247401704
fall7-1.mp4,1,-0.05697652167594272,0.5449814212214557,0.0009721229068663645,0.39706993419573533
fall5-2.mp4,1,-0.4852819134428166,0.4576817771559972,0.0008121142971786476,0.056224195104007585
fall7-2.mp4,1,-0.367504618645066,-0.5840780935391635,0.001956953744621961,-0.04646033407114848
fall7-3.mp4,1,-0.37591906518942714,-0.5679074907209716,0.0019382209679034616,-0.05423522312169782
fall5-1.mp4,1,0.25164354667778766,0.49676696816128474,0.00033260125112168814,0.25125688390980594
fall1-1.mp4,1,-0.4793165700145332,0.4333217285520678,0.0013124280694820386,0.08604927336391695
fall5-5.mp4,1,-0.5301923306379804,0.4497730995142367,0.0034869485919994878,0.01654762125578341
fall9-8.mp4,1,-0.3339469382165927,0.5909849530065104,0.002841502230420155,0.07222660654647657
fall5-4.mp4,1,-0.48933127306035035,-0.4771863574551943,0.0049404347967373355,0.028541934687717995
fall3-2.mp4,1,-0.37775838531229844,0.54197203605818,0.0032210517134887585,0.07704852691603269
fall1-2.mp4,1,-0.29105727305626217,0.6909862443139676,0.002087678514656402,-0.01586880411511383
fall3-1.mp4,1,-0.4206768650176779,0.45661079348124806,0.0017448389698535931,-0.1209675025312203
fall12-2.mp4,1,-0.31316259174168126,-0.649733716130675,0.0029038182085323635,0.034199873919111466
fall14-4.mp4,1,-0.4389812805837136,-0.3784576112365198,0.001303576227873139,0.1812575319518936
fall9-7.mp4,1,-0.40009295771417835,-0.5202963479054384,0.002594000153940956,-0.07701669422644221
fall9-6.mp4,1,-0.31562188276928194,0.5744316797596761,0.002658669650584662,0.10728776782045703
